Name;Path;Data Type;Logical Address;Comment;Kind;Station
3b_Conveyor_Scale_2;Standard-Variablentabelle;Bool;%A6.3;3b | Factory I/O: 3b_Conveyor Scale 2 (-);PLC;Standard-Variablentabelle
3b_Left_Positioner_1_Clamp;Standard-Variablentabelle;Bool;%A6.4;3b | Factory I/O: 3b_Left Positioner 1 (Clamp);PLC;Standard-Variablentabelle
3b_Left_Positioner_1_Raise;Standard-Variablentabelle;Bool;%A6.5;3b | Factory I/O: 3b_Left Positioner 1 (Raise) | DUPLICATE source name - verify mapping;PLC;Standard-Variablentabelle
3b_Right_Positioner_3_Clamp;Standard-Variablentabelle;Bool;%A6.6;3b | Factory I/O: 3b_Right Positioner 3 (Clamp);PLC;Standard-Variablentabelle
3b_Right_Positioner_1_Raise;Standard-Variablentabelle;Bool;%A6.7;3b | Factory I/O: 3b_Left Positioner 1 (Raise) | DUPLICATE source name - verify mapping;PLC;Standard-Variablentabelle
3b_Two_Axis_Pick_and_Place_1_Grab;Standard-Variablentabelle;Bool;%A7.0;3b | Factory I/O: 3b_Two-Axis Pick & Place 1 (Grab);PLC;Standard-Variablentabelle
3b_Two_Axis_Pick_and_Place_1_Rotate_CW;Standard-Variablentabelle;Bool;%A7.1;3b | Factory I/O: 3b_Two-Axis Pick & Place 1 Rotate CW;PLC;Standard-Variablentabelle
3b_Two_Axis_Pick_and_Place_1_Rotate_CCW;Standard-Variablentabelle;Bool;%A7.2;3b | Factory I/O: 3b_Two-Axis Pick & Place 1 Rotate CCW | DUPLICATE source name - verify mapping;PLC;Standard-Variablentabelle
3b_Two_Axis_Pick_and_Place_1_Rotate_CCW_2;Standard-Variablentabelle;Bool;%A7.3;3b | Factory I/O: 3b_Two-Axis Pick & Place 1 Rotate CCW | DUPLICATE source name - verify mapping;PLC;Standard-Variablentabelle
3b_Two_Axis_Pick_and_Place_1_Gripper_CCW;Standard-Variablentabelle;Bool;%A7.4;3b | Factory I/O: 3b_Two-Axis Pick & Place 1 Gripper CCW;PLC;Standard-Variablentabelle
4a_Warning_Light_1;Standard-Variablentabelle;Bool;%A8.0;4a | Factory I/O: 4a_Warning Light 1;PLC;Standard-Variablentabelle
4a_Pick_and_Place_1_C_Plus;Standard-Variablentabelle;Bool;%A8.1;4a | Factory I/O: 4a_Pick & Place 1 C(+);PLC;Standard-Variablentabelle
4a_Pick_and_Place_1_Grab;Standard-Variablentabelle;Bool;%A8.2;4a | Factory I/O: 4a_Pick & Place 1 (Grab);PLC;Standard-Variablentabelle
4a_Belt_Conveyor_at_palletizer_4m_7;Standard-Variablentabelle;Bool;%A8.3;4a | Factory I/O: 4a_Belt _Conveyor_at_palletizer (4m) 7;PLC;Standard-Variablentabelle
4a_Palletizer_Belt_Conveyor_4m_0;Standard-Variablentabelle;Bool;%A8.4;4a | Factory I/O: 4a_Palletizer_Belt Conveyor (4m) 0;PLC;Standard-Variablentabelle
4a_Roller_Conveyor_6m_4;Standard-Variablentabelle;Bool;%A8.5;4a | Factory I/O: 4a_Roller Conveyor (6m) 4;PLC;Standard-Variablentabelle
3a_Two_Axis_Pick_and_Place_0_X_Position_V;Standard-Variablentabelle;Real;%ED30;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 X Position (V);PLC;Standard-Variablentabelle
3a_Two_Axis_Pick_and_Place_0_Z_Position_V;Standard-Variablentabelle;Real;%ED34;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 Z Position (V);PLC;Standard-Variablentabelle
3a_Waage_0_Weight_V;Standard-Variablentabelle;Real;%ED38;3a | Factory I/O: 3a_Waage 0 Weight (V);PLC;Standard-Variablentabelle
4a_Pick_and_Place_1_X_Position_V;Standard-Variablentabelle;Real;%ED42;4a | Factory I/O: 4a_Pick & Place 1 X Position (V);PLC;Standard-Variablentabelle
4a_Pick_and_Place_1_Y_Position_V;Standard-Variablentabelle;Real;%ED46;4a | Factory I/O: 4a_Pick & Place 1 Y Position (V);PLC;Standard-Variablentabelle
